[21/Dec/2021 17:04:39] INFO [django.utils.autoreload:637] Watching for file changes with StatReloader
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:315] Waiting for apps ready_event.
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:327] Apps ready_event triggered. Sending autoreload_started signal.
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:281] Watching dir C:\Users\richa\Documents\WebProjects\teratology\newcastle\templates with glob **/*.
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:281] Watching dir C:\Users\richa\Documents\WebProjects\teratology\locale with glob **/*.mo.
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:281] Watching dir C:\Users\richa\Documents\WebProjects\teratology\newcastle\locale with glob **/*.mo.
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\utils\duration.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\distutils\debug.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\token.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\bdb.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1625585962.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\core\management\sql.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\pkgutil.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\mimetypes.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\http\cookie.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1625585962.0
